subj	rel	obj
mountain chorus frog	structural-noun-compound	chorus
move object	result	sound
eat insect	structural-verb	eat
little pollutant	structural-quantifier	little
string vibrate	structural-verb	vibrate
push bone	result	move bone
nature preserve	structural-noun-compound	nature
flour reproduce	structural-verb	reproduce
change	agent	ecosystem
less soil	structural-quantifier	less
bright	antonym	dark
animal	kind of	living thing
replace natural resource	structural-patient	natural resource
lift	patient	object
park	kind of	environment
harmful substance	structural-adjective	harmful
remove waste	instrument	kidney
pollinate	agent	water
logging	synonym	cut down forest
earthquake change earth surface	structural-agent	earthquake
small piece	structural-adjective	small
find mate	structural-verb	find
wind move sand	structural-verb	move
alligator eat turtle	structural-agent	alligator
dry	instrument	hand dryer
role	synonym	function
underwater	synonym	below water
british indian ocean territory (united kingdom)	structural-noun-compound	british
find north	structural-patient	north
human compete	structural-agent	human
planet orbit star	structural-patient	star
soft	kind of	touch sensation
learned behaviour	kind of	behaviour
low tide	structural-noun-compound	low
improvement	synonym	positive impact
pole tilt from sun	result	winter
radiation affect	patient	distant object
plankton	kind of	animal
remove	synonym	decrease
deer mouse	structural-noun-compound	deer
observe star	structural-verb	observe
breathe	patient	water
safety goggles	structural-noun	safety
wooded area	structural-noun-compound	area
compete	agent	predator
physical cycle	structural-noun-compound	cycle
loud	instance of	volume
sea animal	structural-noun-compound	sea
animal excrete seed	structural-patient	seed
increase water	structural-verb	increase
newfoundland and labrador	instance of	province
electrical circuit	structural-noun-compound	electrical
organism die	structural-verb	die
climb	result	high
many material	structural-noun	material
retain water	structural-patient	water
recycling	has positive impact on	conservation
increase	agent	size
record observation	structural-patient	observation
earth's tilt	result	season change
complete electrical circuit	structural-noun	electrical circuit
tibet autonomous region	structural-noun-compound	autonomous
drink milk	kind of	instinct
use tool	structural-patient	tool
harm	patient	entity
sediment cover organism remains	structural-agent	sediment
cloudy day	structural-noun	day
bean plant	structural-noun-compound	plant
absorb nutrient	instrument	root
study soil sample	structural-patient	soil sample
moon kind	synonym	moon phase
synthetic material	kind of	material
state of matter	structural-noun-compound	of
drive vehicle	synonym	use vehicle
carbonic acid dissolve limestone	structural-patient	limestone
store	synonym	hold
help entity	structural-verb	help
carry food	instrument	esophagus
heat transfer	result	cold
wash away	agent	soil
very cold	structural-adjective	cold
butterfly	synonym	old caterpillar
orbit	patient	sun
matter state	structural-noun-compound	matter
heat	synonym	add heat
wide river	structural-adjective	wide
pinhole camera	structural-noun-compound	pinhole
shift	synonym	move
detect texture	structural-patient	texture
appear	patient	large
wolf	kind of	animal
event occur	structural-agent	event
cause formation	structural-verb	cause
do	patient	chore
digestive system	structural-noun-compound	system
generate electricity	structural-verb	generate
large canopy	structural-noun	canopy
send	synonym	transfer
tadpole breathe	structural-verb	breathe
grand canyon	structural-noun-compound	grand
recycle	patient	nonrenewable resources
blend in	synonym	hide
produce	agent	skunk
solar energy	instance of	energy
lose hair	structural-patient	hair
newly hatched	synonym	just born
natural gas	structural-adjective	natural
carmarthenshire	structural-noun-compound	carmarthenshire
increase temperature	result	big
light bulb produce light	structural-verb	produce
observe	instrument	satellite
blue object	structural-noun	object
plant survive	structural-agent	plant
hold	instrument	handle
white blood cell	structural-noun-compound	white
different object	structural-noun	object
same food source	structural-adjective	same
protect cell	structural-verb	protect
galileo galilei	structural-noun-compound	galileo
observe moon	structural-verb	observe
vehicle operate	structural-verb	operate
quarts	synonym	qt
tamaulipas	instance of	state
block light	structural-verb	block
maintain number	structural-patient	number
georgia (country)	structural-noun-compound	georgia
arctic animal	structural-adjective	arctic
sediment cement	structural-verb	cement
save gasoline	structural-patient	gasoline
wood	kind of	natural material
new brunswick	structural-noun-compound	new
transport	agent	plant
northern winter solstice	structural-adjective	northern
better	synonym	good
uv light	kind of	light
use resource	structural-verb	use
transport liquid	instrument	tube
attach	patient	shark
pour	kind of	activity
bark	kind of	sound
destroy forest	structural-verb	destroy
kill fish	result	food
dorset	structural-noun-compound	dorset
pail	kind of	container
ivy plant	structural-noun-compound	plant
predate	agent	bird
assemble	patient	something
linlithgowshire	instance of	county
light travel	structural-verb	travel
burn gasoline	structural-patient	gasoline
animal habitat	structural-noun-compound	animal
lose skin	structural-patient	skin
study	patient	microorganism
territory of new caledonia and dependencies (france)	structural-noun-compound	new
cool	synonym	cold
jalisco	instance of	state
violet	kind of	color
floodplain	kind of	landform
colorless	synonym	no color
attract	patient	fly
cure	patient	sick
weed use	structural-agent	weed
stout beardfish	structural-noun-compound	stout
create	synonym	make
burn	kind of	action
touch	agent	object
ferrous metals	structural-noun	metals
hong kong special administrative region	instance of	special administrative region
electricity flow	instrument	electrical conductor
skunk	kind of	animal
fluid ounce	synonym	fl oz
datum	synonym	information
seed	kind of	inherited characteristic
caterpillar	synonym	young butterfly
bone	kind of	fossil
communicate	instrument	computer
white tile	kind of	streak plate
magnify	instrument	electron microscope
survive	instrument	conserve water
break down food	structural-verb	break down
many oxygen	structural-quantifier	many
maryland	instance of	state
discard	patient	waste
animal survive	instrument	eat food
chemical energy	structural-adjective	chemical
greater height	structural-noun	height
melt	agent	snow
protect	patient	plant
lift	patient	heavy object
weather	kind of	break down
curly hair	structural-adjective	curly
hong kong	instance of	special administrative region
poison	patient	organism
south korea	structural-noun-compound	south
liquid matter	structural-adjective	liquid
measuring cup	kind of	tool
pull	kind of	force
use switch	structural-verb	use
celestial object	structural-noun	object
wise	synonym	good
rise	agent	sun
alabama	instance of	state
ninth planet	structural-noun	planet
half	instance of	amount
attract pollinator	structural-patient	pollinator
rock pile	structural-noun-compound	rock
arctic environment	structural-noun	environment
lose fur	structural-patient	fur
young	synonym	immature
sonora	structural-noun-compound	sonora
ice cream	structural-noun-compound	ice
pop	patient	popcorn
melting point	structural-noun-compound	point
touch	synonym	contact
many oxygen	structural-noun	oxygen
color	kind of	visual property
car engine	structural-noun-compound	engine
vibrate	agent	air
heat gas	result	rise
create picture	structural-patient	picture
animal move	structural-verb	move
district of columbia	structural-noun-compound	district
rocket	kind of	mechanical system
glow	agent	filament
weed use	structural-verb	use
cellular respiration	structural-noun-compound	cellular
red	kind of	color
east timor	structural-noun-compound	timor
volcanic eruption	kind of	quick process
piece	kind of	object
clear	patient	orbit
not change	antonym	change
absorb sound	instrument	carpet
generate heat	structural-verb	generate
move	patient	air
liquid	patient	freeze
norfolk island (australia)	structural-noun-compound	norfolk
operate toy	result	toy move
climb	agent	vine
scavenger eat dead organism	structural-patient	dead organism
rise	agent	old rock
carry oxygen	goal	cell
cook	patient	food
saint barthélemy (france)	structural-noun-compound	france
contents color	structural-noun-compound	content
avoid	patient	waste
affect	agent	magnetism
soil erode	structural-verb	erode
form	patient	solid
magnify	instrument	magnifying glass
asteroid impact	result	crater
cool down	agent	source
become cold	structural-verb	become
use resource	has negative impact on	availability
simple carbohydrate	structural-adjective	simple
carbonic acid dissolve limestone	structural-verb	dissolve
wider	synonym	greater width
time length	synonym	time period
escape predator	instrument	move
change	agent	temperature
electric toothbrush	structural-adjective	electric
horse weight	structural-noun-compound	horse
change ecosystem	structural-verb	change
raccoon eat trash	has negative impact on	trash
strum	patient	guitar
little	synonym	small
reduce food	result	thin
taste sweet	structural-verb	taste
read	kind of	literacy
creating	kind of	activity
boston	kind of	city
protect hand	instrument	thermal glove
moisture	synonym	liquid water
degrees kelvin	kind of	temperature
shelter	beneficiary	organism
unhealthy	antonym	healthy
many year	structural-noun	year
electric current flow	structural-agent	electric current
muscle cells	structural-noun	muscle
little food	structural-noun	food
little liquid	structural-noun	liquid
photosynthesize	result	food
full moon	structural-noun	moon
battery convert	structural-agent	battery
burn coal	structural-verb	burn
animal eat seed	structural-patient	seed
increase important object	structural-patient	important object
north dakota	structural-noun-compound	north
break down	patient	whole
flexible container expand	structural-verb	expand
insect	kind of	prey
tinted lens reflect	structural-verb	reflect
lab equipment	structural-noun-compound	lab
poison environment	instrument	poison organism
physical feature	structural-noun	feature
camouflage	instrument	leaf
warm	instance of	heat energy
body system	structural-noun	system
move around	structural-verb	move
weather	patient	whole
liquid water	structural-noun	water
shaanxi	instance of	province
need	patient	know
cure	synonym	solution
deep river	structural-noun	river
meter stick	kind of	tool
phase change	agent	substance
visible light	structural-adjective	visible
montserrat (uk)	structural-noun-compound	uk
change	patient	matter state
grass snake	structural-noun-compound	grass
absorb sunlight	structural-patient	sunlight
slow environmental change	structural-adjective	slow
many crater	structural-noun	crater
capture animal	structural-verb	capture
breathe	instrument	oxygen
shiny surface	structural-noun	surface
electrical current	structural-noun-compound	electrical
sound reflect	synonym	echo
saint barthélemy (france)	structural-noun-compound	barthélemy
nerve cells	structural-noun	nerve
earth's axis	structural-noun-compound	earth's
floating arrow point	structural-agent	floating arrow
very small	structural-quantifier	very
internal organ	structural-noun-compound	internal
tuna	kind of	fish
prey population	structural-noun-compound	population
measure earthquake strength	structural-verb	measure
eliminate waste	structural-patient	waste
sun set	structural-agent	sun
few organism	structural-quantifier	few
protect	instrument	cover
avoid	kind of	defend
xinjiang	synonym	xinjiang autonomous region
cow eat plant	has negative impact on	plant
lift heavy object	instrument	lever
hong kong special administrative region	structural-noun-compound	hong
oaxaca	instance of	state
recycle	result	resource
measure	patient	hardness
least length	structural-noun	length
sunset	structural-noun-compound	set
oil mixed with water	structural-noun-compound	oil
pollinate	agent	animal
push bike pedal	structural-patient	bike pedal
rest	kind of	activity
eat insect	structural-patient	insect
salt water	structural-noun-compound	water
flip switch	structural-verb	flip
decomposing algae	structural-noun	algae
drink	instrument	cup
sharp object	structural-adjective	sharp
pound	kind of	unit
lose hair	structural-verb	lose
blending in	structural-adjective	in
constructive force	structural-noun	force
strum string	structural-verb	strum
geologic structure	structural-adjective	geologic
increase visibility	instrument	windshield wiper
rainy weather	structural-noun	weather
light brown	structural-adjective	light
play	patient	musical instrument
ice cream	structural-noun-compound	cream
kill plant	structural-verb	kill
organism	kind of	living entity
lunar cycle	structural-noun-compound	lunar
yeast cell	structural-noun-compound	yeast
know	patient	property
vibrate	agent	molecule
attract mate	structural-verb	attract
remora fish eat	patient	food
insect eat crop	structural-agent	insect
lose	synonym	have less of
night sky star	structural-noun-compound	star
play musical instrument	structural-verb	play
form solid	structural-patient	solid
guerrero	structural-noun-compound	guerrero
push	patient	water
cotton waste	structural-noun-compound	waste
offshore oil platform	structural-noun	oil platform
water animal	kind of	animal
visual thing	structural-noun-compound	thing
surrey	structural-noun-compound	surrey
fire destroy	patient	plant
less object	structural-noun	object
hold animal	structural-patient	animal
midlothian	structural-noun-compound	midlothian
absorb carbon dioxide	structural-verb	absorb
potential energy	structural-adjective	potential
co2	synonym	carbon dioxide
internal organs	structural-noun	organs
farm plant	structural-patient	plant
thunder	kind of	sound
grow	has positive impact on	size
no color	antonym	color
bear eat berry	has positive impact on	bear
transport mineral	instrument	artery
decrease visibility	result	crash car
push object	instrument	force
transfer	kind of	move
destroy living thing	structural-verb	destroy
affect organism	structural-patient	organism
can float	structural-verb	can
heavy	synonym	many weight
liquid carry	synonym	liquid push
measure earthquake strength	structural-patient	earthquake strength
many something	structural-quantifier	many
baby cat	structural-adjective	baby
millimeters	kind of	length
deep	antonym	shallow
organism grow	instrument	energy
butterfly lifespan	synonym	1 month
calculator	kind of	tool
set	agent	sun
sichuan	structural-noun-compound	sichuan
lab equipment	structural-noun-compound	equipment
pull down	instrument	gravity
xinjiang	instance of	autonomous region
plant become oil	instrument	bury plant
kansas	structural-noun-compound	kansas
above number	structural-noun	number
recycle resource	structural-verb	recycle
protect	patient	young bird
adjust temperature	structural-patient	temperature
transport	patient	water
act	patient	object
speak	kind of	communication
move	result	change position
plant transport nutrient	instrument	stem
pesticide	has negative impact on	insect
multicellular organism	structural-noun	organism
ocean shell	structural-noun-compound	shell
monkey give birth	structural-agent	monkey
greatest	synonym	largest
defend	instrument	poison dart
piano key	structural-noun-compound	key
bedfordshire	structural-noun-compound	bedfordshire
low quality soil	structural-adjective	quality
make product	instrument	material
water vapor	structural-noun-compound	water
selkirkshire	instance of	county
affect	agent	non-contact forces
measure length	structural-patient	length
bodily process	structural-adjective	bodily
form group	structural-verb	form
diamond	kind of	mineral
nunavut	structural-noun-compound	nunavut
human eat crop	has positive impact on	human
inclined	synonym	sloping
function	synonym	use
flower become	structural-verb	become
hide	agent	octopus
use resource	agent	organism
put	patient	group
plant	kind of	living thing
orkney	instance of	county
gourd	kind of	fruit
push	kind of	force
include	synonym	contain
water fall	synonym	precipitation
function	agent	simple machine
live	synonym	be alive
rock	synonym	stone
gaseous matter	structural-adjective	gaseous
control animal	structural-patient	animal
bone cells	structural-noun	cells
largest	synonym	greatest size
united states	structural-noun-compound	state
flower petal	structural-noun-compound	petal
contain	kind of	store
enhanced sense	structural-adjective	enhanced
observe	patient	moon
compare density	structural-patient	density
water lily	structural-noun-compound	lily
decompose	agent	microorganism
perform experiment	instrument	read instruction
cups	kind of	volume
pollinator	has positive impact on	reproduce
waxing crescent	kind of	moon phase
complete rotation	structural-verb	complete
stay	result	cool
combine	patient	solids
many energy	structural-noun	energy
protect hand	structural-patient	hand
magnetic force	structural-noun-compound	force
rock crack	structural-noun-compound	rock
body store	structural-agent	body
share information	structural-verb	share
come together	structural-verb	come
study	patient	history
british indian ocean territory (united kingdom)	structural-noun-compound	kingdom
move	patient	human
river	kind of	water channel
shed fur	structural-verb	shed
adult female insect	structural-adjective	female
wind	synonym	moving air
fox eat	patient	rabbit
pollinate	agent	bee
polluting gas	structural-noun	gas
moon phase	structural-noun-compound	phase
food preference	kind of	preference
stay	antonym	change
create	patient	paper
low vibration	structural-adjective	low
find	patient	food
rain storm	structural-noun-compound	rain
object cool	structural-verb	cool
water boiling point	synonym	373k
learn information	result	know information
carry oxygen	instrument	blood
deep valley	structural-noun	valley
contact object	result	sound
high speed	structural-noun-compound	speed
food	has positive impact on	hatch
high tide	structural-noun-compound	high
see	patient	light
smooth skin	structural-adjective	smooth
high quality soil	structural-noun	soil
dig	agent	chimpanzee
hide	beneficiary	animal
burn gasoline	instrument	gasoline engine
lift flag	structural-verb	lift
ningxia	synonym	ningxia autonomous region
shrink	result	decrease size
cold	synonym	low temperature
marble	kind of	object
convert	agent	bee
high vibration	structural-noun	vibration
grow	instrument	tissue
store	patient	urine
coast	kind of	environment
see	patient	prey
coral sea islands (australia)	structural-noun-compound	coral
plant cells	structural-noun	cells
produce electricity	instrument	oil
produce	agent	tree
large size	structural-noun	size
celestial body move	structural-agent	celestial body
redwood tree	structural-noun-compound	tree
human	kind of	car passenger
little sunlight	structural-quantifier	little
change direction	structural-patient	direction
osprey	kind of	bird
know property	structural-verb	know
thermal insulator	has negative impact on	heat
measure wind speed	structural-patient	wind speed
provide sunlight	structural-patient	sunlight
cut down tree	agent	human
meadow vole eat insect	structural-agent	meadow vole
colorado	structural-noun-compound	colorado
hit	kind of	touch
bury seed	structural-patient	seed
learn	instrument	study fossil
improve telescope	result	better observation
carnivore eat animal	structural-patient	animal
decompose	agent	bacterium
french guiana (france)	structural-noun-compound	france
keep cool	antonym	increase temperature
living thing grow	structural-agent	living thing
move product	structural-patient	product
attract	kind of	activity
malleable	instance of	hardness
renewable resource	synonym	natural resource
enemy	synonym	threat
perform task	structural-patient	task
burn living thing	structural-patient	living thing
complex machine	structural-adjective	complex
michoacán	instance of	state
living thing survive	instrument	energy
build tool	structural-verb	build
very small	structural-adjective	small
greatest	synonym	most
produce electricity	instrument	burn coal
matter form	structural-agent	matter
egg hatch	structural-agent	egg
predator	has negative impact on	prey
kilograms	synonym	kg
be available long	structural-verb	be available
planet pull	instrument	gravity
matter form	kind of	process
timber company	structural-noun-compound	timber
georgia	structural-noun-compound	georgia
tide cycle	structural-noun-compound	tide
independent variable	structural-adjective	independent
camper	kind of	human
living thing	structural-noun	thing
ocean shell	synonym	seashell
new jersey	structural-noun-compound	new
tree reproduce	structural-verb	reproduce
repair cell	structural-verb	repair
become hot	structural-adjective	hot
hail	kind of	precipitation
dunbartonshire	synonym	dumbartonshire
bouvet island (norway)	structural-noun-compound	norway
destroy pathogen	structural-patient	pathogen
same sunlight	structural-adjective	same
get warm	structural-verb	get
rely on	synonym	require
egg survive	instrument	warmth
make	result	effect
sediment deposit	result	delta
many required item	has positive impact on	resource consumer
daylight amount	structural-noun-compound	amount
cocos (keeling) islands (australia)	structural-noun-compound	islands
earth change	structural-agent	earth
national park	has positive impact on	ecosystem
eat	patient	acorn
solar year	structural-noun-compound	year
eat	patient	seed
greatest length	structural-noun	length
rabbit	kind of	herbivore
rock fold	result	appalachians
extensive properties	structural-noun	properties
black	kind of	color
down	kind of	small feather
low visibility	structural-noun	visibility
purple	kind of	color
chemical change	structural-noun	change
take in oxygen	structural-patient	oxygen
phase change	result	same mass
blow	agent	wind
prevent injury	structural-patient	injury
help	synonym	aid
warm climate	structural-adjective	warm
tiny	instance of	size
valid conclusion	structural-noun	conclusion
increase temperature	structural-patient	temperature
baking soda react	structural-agent	baking soda
eat poison	structural-verb	eat
behavior	kind of	characteristic
air	kind of	matter
cut	patient	material
measure weight	structural-verb	measure
bad tool	structural-adjective	bad
stay warm	structural-verb	stay
read	patient	measurement
surface feature	structural-noun-compound	surface
turn on	kind of	process
days	kind of	time
minnesota	structural-noun-compound	minnesota
sit	result	heat
scientific evidence	structural-noun-compound	evidence
mouse	kind of	mammal
above value	structural-adjective	above
same latitude	structural-noun	latitude
replace natural resource	structural-verb	replace
useful object	structural-noun	object
leaf tilt	goal	sunlight
southern winter	structural-noun	winter
create simple circuit	structural-verb	create
produce	kind of	function
sharpen	result	change shape
live	instrument	energy
diverse food	structural-adjective	diverse
remote-control toy	structural-noun	toy
smallest length	structural-adjective	smallest
be available	patient	long
invent	patient	refrigerator
contents color	structural-noun-compound	contents
nuclear energy	structural-noun-compound	energy
dry	result	less liquid
condition	kind of	acquired characteristic
space	kind of	resource
near	synonym	close
transmit	agent	vehicle
byproduct	kind of	waste
avoid fossil fuel	structural-patient	fossil fuel
ride vehicle	structural-verb	ride
hibernate	has positive impact on	energy
vehicle	kind of	object
mouse give birth	structural-agent	mouse
prevent illness	structural-patient	illness
drive vehicle	structural-verb	drive
car passenger	structural-noun-compound	car
chemical energy	structural-noun	energy
get cold	structural-verb	get
road surface	structural-noun-compound	surface
prevailing westerlies	kind of	wind
southern hemisphere	structural-noun	hemisphere
emit light	structural-verb	emit
point north	structural-patient	north
living thing	structural-adjective	living
pure substance	structural-noun	substance
move	agent	wind
weather report	structural-noun-compound	weather
send electricity	structural-verb	send
gaseous matter	structural-noun	matter
cool body	instrument	sweat
high strength	structural-noun	strength
collapse	agent	building
exchange	agent	gas
amoeba	kind of	single-celled organism
hawaii	structural-noun-compound	hawaii
solar system	structural-noun-compound	system
transport sand	structural-verb	transport
control	patient	body
crater	kind of	land feature
cause	result	increase
decrease animal population	structural-verb	decrease
multi-cell organism	structural-noun-compound	multi-cell
avoid predator	result	protect
metamorphose	result	metamorphic rock
bring substance	kind of	function
downward	kind of	direction
annual	synonym	yearly
ferrous metal	structural-adjective	ferrous
show datum	structural-verb	show
use crop	structural-verb	use
mouse birth	result	live young
manmade	antonym	natural
wallis and futuna (france)	structural-noun-compound	wallis
thick tail	structural-noun	tail
natural material	structural-noun	material
solution	has positive impact on	problem
octopus	kind of	animal
protect	beneficiary	internal organ
least value	structural-noun	value
open container	structural-patient	container
once per	structural-noun-compound	per
aquatic	synonym	water
aquatic animal move	structural-verb	move
observe	patient	sky
population decrease	structural-agent	population
identify boiling point	structural-verb	identify
frosting	kind of	material
heard island and mcdonald islands (australia)	structural-noun-compound	australia
conserve water	kind of	characteristic
m o v	structural-adjective	m
transport sand	instrument	wind
ivy plant	kind of	plant
more size	structural-adjective	more
cool	instance of	temperature
last long	structural-patient	long
point north	agent	compass
animal eat	structural-agent	animal
pitcairn islands (united kingdom)	structural-noun-compound	pitcairn
big	antonym	small
ultraviolet light	structural-noun-compound	ultraviolet
burn	instrument	heat energy
magnifying lens	structural-noun-compound	magnifying
chemical weathering	structural-noun-compound	chemical
gansu	instance of	province
1 day	structural-noun	day
send electricity	result	electricity flow
adult tree	structural-adjective	adult
few prey	structural-noun	prey
food variety	structural-noun-compound	food
hit drum	structural-patient	drum
egg develop	structural-agent	egg
low distance	structural-noun	distance
predict weather	structural-verb	predict
saint pierre and miquelon (france)	structural-noun-compound	france
animal find shelter	structural-verb	find
moon type	structural-noun-compound	type
communicate	instrument	tool
poison insect	structural-verb	poison
water fall	structural-verb	fall
herbivore eat plant	structural-agent	herbivore
planet rotate	result	night
norfolk	structural-noun-compound	norfolk
same object	structural-adjective	same
rotate	synonym	complete rotation
decomposer consume	patient	dead organism
tonnes	synonym	t
light years	kind of	length
insulate	instrument	thermal insulator
paint	patient	object
break down food	instrument	cell
tinted lens	structural-noun	lens
protect	patient	body
heavy object	structural-adjective	heavy
mexico city	structural-noun-compound	city
weather	result	weathering
bang drum	structural-verb	bang
avoid predator	result	live
leaf change colour	kind of	process
live young	structural-adjective	live
rust	synonym	form rust
slide	kind of	object
sea mammal	structural-noun-compound	sea
unique seed	structural-adjective	unique
vine climb	structural-agent	vine
river flow	structural-verb	flow
hit	patient	piano key
usual	synonym	normal
jalisco	structural-noun-compound	jalisco
visual property	structural-adjective	visual
rotting meat smell	structural-noun-compound	smell
magnify	instrument	microscope
l a	structural-noun-compound	a
rock deposit	result	rock pile
san marino	structural-noun-compound	marino
paper bag	kind of	object
baby bird	structural-adjective	baby
boil	kind of	change
sediment cover organism remains	result	fossil
rub together	synonym	move against
develop trait	structural-verb	develop
food chain role	structural-noun-compound	role
transpire	source	plant
1 day	structural-quantifier	1
harm animal species	structural-patient	animal species
mineral	kind of	solid material
push switch	structural-patient	switch
new predator	structural-noun	predator
ounces	synonym	oz
function	agent	electric device
large land mass	structural-adjective	large
rock layer fold	structural-agent	rock layer
alligator eat frog	has positive impact on	alligator
carry water	structural-patient	water
sifter	kind of	tool
make	patient	easier
pencil lead	structural-noun-compound	lead
lose soil	structural-patient	soil
cool	patient	room
animal drink desalinated water	structural-verb	drink
pour water	result	soil wash away
reproduce	agent	animal
