subj	rel	obj
peat become coal	instrument	bury peat
higher	synonym	above value
become warm	structural-verb	become
change	patient	appearance
sea turtle	kind of	animal
gold	kind of	solid
dark color	structural-noun	color
small diameter	structural-adjective	small
light years	derivational morphology	light year
north pole	structural-noun-compound	north
access small space	instrument	skinny beak
decreasing	derivational morphology	decrease
newborn	synonym	just born
light bulb	causes	light
camel	kind of	animal
thick feather	structural-adjective	thick
human	has property	male
answer	patient	question
device	has property	electric
fern	kind of	plant
dumbartonshire	instance of	county
crash	patient	car
sint eustatius (netherlands)	structural-noun-compound	eustatius
inherited characteristic	kind of	hereditary information
learn information	structural-verb	learn
human	at location	house
guinea-bissau	structural-noun-compound	bissau
eat	agent	carnivore
liquid push	structural-agent	liquid
substance	has property	simple
electromagnet	has subcomponent	copper wire
bury	kind of	hide
young bird	structural-noun-compound	bird
flexible container	structural-adjective	flexible
object	has property	function
rising	derivational morphology	rise
predator eat	patient	animal
offshore oil platform	at location	sea
every year	structural-adjective	every
cold environment	has subcomponent	few organism
photosynthesize	instrument	light
saint kitts and nevis	structural-noun-compound	nevis
reduce	patient	waste
prehistoric	synonym	very old
month	has subcomponent	moon revolve
plant transport nutrient	structural-agent	plant
plant	has subcomponent	chlorophyll
car accident	structural-noun-compound	accident
animal die	structural-verb	die
tube	kind of	hollow object
lemon tree	structural-noun-compound	tree
sea animal	at location	ocean
deposition	kind of	constructive force
mineral graphite	structural-noun-compound	graphite
travel	agent	plane
drinking straw	structural-noun-compound	straw
six side	structural-noun	side
light	has property	visible
nevada	structural-noun-compound	nevada
seeds	derivational morphology	seed
baby	causes	adult
thunderstorm	has subcomponent	thunder
organism	synonym	living entity
road surface	structural-noun-compound	road
produce	agent	source
rock form	kind of	process
invent tool	structural-verb	invent
push bike pedal	structural-verb	push
tamaulipas	at location	mexico
body of water	kind of	water
reflect light	structural-verb	reflect
prevent spoiling	structural-patient	spoiling
magma cool	structural-verb	cool
fall	synonym	autumn
edible plants	derivational morphology	edible plant
mountain chorus frog	structural-noun-compound	chorus
move object	result	sound
eat insect	structural-verb	eat
human	at location	planet
little pollutant	structural-quantifier	little
string vibrate	structural-verb	vibrate
push bone	result	move bone
motion	has property	circular
electrical circuit	has property	complete
conduct	derivational morphology	conductor
nature preserve	structural-noun-compound	nature
flour reproduce	structural-verb	reproduce
change	agent	ecosystem
less soil	structural-quantifier	less
bright	antonym	dark
grass	has property	fake
animal	kind of	living thing
replace natural resource	structural-patient	natural resource
lift	patient	object
hail	at location	cloud
park	kind of	environment
harmful substance	structural-adjective	harmful
remove waste	instrument	kidney
alligators	derivational morphology	alligator
pollinate	agent	water
logging	synonym	cut down forest
little food	causes	starvation
earthquake change earth surface	structural-agent	earthquake
small piece	structural-adjective	small
find mate	structural-verb	find
earth revolve	at location	axis
wind move sand	structural-verb	move
alligator eat turtle	structural-agent	alligator
dry	instrument	hand dryer
role	synonym	function
jalisco	at location	mexico
underwater	synonym	below water
british indian ocean territory (united kingdom)	structural-noun-compound	british
find north	structural-patient	north
human compete	structural-agent	human
planet orbit star	structural-patient	star
humidity	at location	atmosphere
young	has property	live
soft	kind of	touch sensation
learned behaviour	kind of	behaviour
toothbrush	has property	electric
low tide	structural-noun-compound	low
improvement	synonym	positive impact
pole tilt from sun	result	winter
bhutan	at location	northern hemisphere
sedimentary rock	has subcomponent	small particle
radiation affect	patient	distant object
plankton	kind of	animal
costa rica	structural-noun-compound	costa
remove	synonym	decrease
deer mouse	structural-noun-compound	deer
channel	has subcomponent	moving water
lady bug	structural-noun-compound	lady
object	has subcomponent	characteristic
observe star	structural-verb	observe
earth	has subcomponent	earth surface
breathe	patient	water
safety goggles	structural-noun	safety
wooded area	structural-noun-compound	area
compete	agent	predator
animal scale	has property	small
physical cycle	structural-noun-compound	cycle
loud	instance of	volume
sea animal	structural-noun-compound	sea
animal excrete seed	structural-patient	seed
increase water	structural-verb	increase
worm	has subcomponent	tube-like body
newfoundland and labrador	instance of	province
signal	has property	electrical
electrical circuit	structural-noun-compound	electrical
organism die	structural-verb	die
climb	result	high
many material	structural-noun	material
retain water	structural-patient	water
area	has property	coastal
increase	agent	size
record observation	structural-patient	observation
earth's tilt	result	season change
complete electrical circuit	structural-noun	electrical circuit
tibet autonomous region	structural-noun-compound	autonomous
drink milk	kind of	instinct
use tool	structural-patient	tool
harm	patient	entity
flow	at location	pipe
sediment cover organism remains	structural-agent	sediment
cloudy day	structural-noun	day
sand	has subcomponent	rough surface
earth	has subcomponent	mass
pollinate	at location	flower
bean plant	structural-noun-compound	plant
absorb nutrient	instrument	root
choice	has property	good
oxygenated	derivational morphology	oxygen
sri lanka	at location	northern hemisphere
study soil sample	structural-patient	soil sample
moon kind	synonym	moon phase
synthetic material	kind of	material
state of matter	structural-noun-compound	of
drive vehicle	synonym	use vehicle
carbonic acid dissolve limestone	structural-patient	limestone
store	synonym	hold
help entity	structural-verb	help
visibility	has property	low
carry food	instrument	esophagus
heat transfer	result	cold
wash away	agent	soil
environment	causes	acquired characteristic
very cold	structural-adjective	cold
butterfly	synonym	old caterpillar
orbit	patient	sun
montserrat (uk)	at location	northern hemisphere
matter state	structural-noun-compound	matter
heat	synonym	add heat
temperature	has property	lower
lesotho	at location	southern hemisphere
wide river	structural-adjective	wide
pinhole camera	structural-noun-compound	pinhole
shift	synonym	move
detect texture	structural-patient	texture
appear	patient	large
wolf	kind of	animal
event occur	structural-agent	event
cause formation	structural-verb	cause
do	patient	chore
digestive system	structural-noun-compound	system
generate electricity	structural-verb	generate
large canopy	structural-noun	canopy
send	synonym	transfer
tadpole breathe	structural-verb	breathe
grand canyon	structural-noun-compound	grand
recycle	patient	nonrenewable resources
blend in	synonym	hide
produce	agent	skunk
solar energy	instance of	energy
lose hair	structural-patient	hair
thermal conduction	has subcomponent	cool object
newly hatched	synonym	just born
natural gas	structural-adjective	natural
carmarthenshire	structural-noun-compound	carmarthenshire
increase temperature	result	big
sweden	at location	northern hemisphere
ear	has property	long
light bulb produce light	structural-verb	produce
observe	instrument	satellite
flashlight	causes	light
blue object	structural-noun	object
plant survive	structural-agent	plant
remove forest	causes	remove animal habitat
hold	instrument	handle
white blood cell	structural-noun-compound	white
different object	structural-noun	object
same food source	structural-adjective	same
protect cell	structural-verb	protect
galileo galilei	structural-noun-compound	galileo
observe moon	structural-verb	observe
surface	has property	lunar
earthquake	causes	building collapse
vehicle operate	structural-verb	operate
utah	at location	united states of america
quarts	synonym	qt
tamaulipas	instance of	state
block light	structural-verb	block
maintain number	structural-patient	number
georgia (country)	structural-noun-compound	georgia
arctic animal	structural-adjective	arctic
sediment cement	structural-verb	cement
save gasoline	structural-patient	gasoline
wood	kind of	natural material
new brunswick	structural-noun-compound	new
transport	agent	plant
northern winter solstice	structural-adjective	northern
paper	has property	nonmagnetic
better	synonym	good
uv light	kind of	light
fur	has property	thick
use resource	structural-verb	use
transport liquid	instrument	tube
attach	patient	shark
pour	kind of	activity
tianjin municipality	synonym	tianjin
magnet	has property	magnetic
bark	kind of	sound
destroy forest	structural-verb	destroy
kill fish	result	food
dorset	structural-noun-compound	dorset
pail	kind of	container
southern summer	has subcomponent	december
swamp	has subcomponent	soil
nature	has subcomponent	atmosphere
ivy plant	structural-noun-compound	plant
lake	has property	deep
heat	causes	expand
predate	agent	bird
cloud	has subcomponent	water vapor
assemble	patient	something
linlithgowshire	instance of	county
light travel	structural-verb	travel
burn gasoline	structural-patient	gasoline
light bulb filaments	derivational morphology	light bulb filament
animal habitat	structural-noun-compound	animal
lose skin	structural-patient	skin
study	patient	microorganism
territory of new caledonia and dependencies (france)	structural-noun-compound	new
cool	synonym	cold
jalisco	instance of	state
violet	kind of	color
floodplain	kind of	landform
substance	has property	not dense
colorless	synonym	no color
attract	patient	fly
cure	patient	sick
weed use	structural-agent	weed
stout beardfish	structural-noun-compound	stout
create	synonym	make
burn	kind of	action
refrigerator	has subcomponent	harmful chemical
touch	agent	object
ferrous metals	structural-noun	metals
hong kong special administrative region	instance of	special administrative region
ecosystem	has subcomponent	nonliving thing
weather	has property	bad
electricity flow	instrument	electrical conductor
skunk	kind of	animal
population	has subcomponent	organism
fluid ounce	synonym	fl oz
poison	derivational morphology	poison
datum	synonym	information
seed	kind of	inherited characteristic
arctic	has property	white
caterpillar	synonym	young butterfly
six leg	structural-noun	leg
baby	has property	young
bone	kind of	fossil
communicate	instrument	computer
body	has property	warm
white tile	kind of	streak plate
guess	has property	scientific
magnify	instrument	electron microscope
survive	instrument	conserve water
gills	derivational morphology	gills
break down food	structural-verb	break down
many oxygen	structural-quantifier	many
vibration	derivational morphology	vibrate
maryland	instance of	state
skid	causes	friction
chicken	has property	chicken weight
pure substance	has subcomponent	melting point
condense	similar to	collect
discard	patient	waste
animal survive	instrument	eat food
chemical energy	structural-adjective	chemical
greater height	structural-noun	height
melt	agent	snow
point	has property	freezing
protect	patient	plant
lift	patient	heavy object
cows	derivational morphology	cow
weather	kind of	break down
curly hair	structural-adjective	curly
burma	at location	northern hemisphere
animal	has property	thin
hong kong	instance of	special administrative region
poison	patient	organism
south korea	structural-noun-compound	south
liquid matter	structural-adjective	liquid
measuring cup	kind of	tool
pull	kind of	force
use switch	structural-verb	use
celestial object	structural-noun	object
wise	synonym	good
rise	agent	sun
alabama	instance of	state
ninth planet	structural-noun	planet
half	instance of	amount
attract pollinator	structural-patient	pollinator
object	has property	weight
rock pile	structural-noun-compound	rock
arctic environment	structural-noun	environment
lose fur	structural-patient	fur
young	synonym	immature
sonora	structural-noun-compound	sonora
guinea	at location	southern hemisphere
ice cream	structural-noun-compound	ice
pop	patient	popcorn
melting point	structural-noun-compound	point
touch	synonym	contact
many oxygen	structural-noun	oxygen
color	kind of	visual property
puebla	at location	mexico
oaxaca	at location	mexico
car engine	structural-noun-compound	engine
vibrate	agent	air
constellation	has subcomponent	star
heat gas	result	rise
tide cycle	has subcomponent	low tide
create picture	structural-patient	picture
animal move	structural-verb	move
district of columbia	structural-noun-compound	district
rocket	kind of	mechanical system
glow	agent	filament
swaziland	at location	southern hemisphere
weed use	structural-verb	use
cellular respiration	structural-noun-compound	cellular
red	kind of	color
east timor	structural-noun-compound	timor
volcanic eruption	kind of	quick process
piece	kind of	object
clear	patient	orbit
altitude	has property	great
not change	antonym	change
absorb sound	instrument	carpet
generate heat	structural-verb	generate
move	patient	air
liquid	patient	freeze
norfolk island (australia)	structural-noun-compound	norfolk
operate toy	result	toy move
trinidad and tobago	at location	northern hemisphere
climb	agent	vine
scavenger eat dead organism	structural-patient	dead organism
rise	agent	old rock
carry oxygen	goal	cell
cook	patient	food
saint barthélemy (france)	structural-noun-compound	france
burkina faso	at location	southern hemisphere
contents color	structural-noun-compound	content
avoid	patient	waste
quarter	has property	first
affect	agent	magnetism
occurrence	has property	natural
soil erode	structural-verb	erode
form	patient	solid
magnify	instrument	magnifying glass
nail	has property	magnetic
asteroid impact	result	crater
cool down	agent	source
become cold	structural-verb	become
simple carbohydrate	structural-adjective	simple
density	has property	intensive
force	has property	destructive
time	has property	different
carbonic acid dissolve limestone	structural-verb	dissolve
wider	synonym	greater width
time length	synonym	time period
catch	derivational morphology	catching
escape predator	instrument	move
change	agent	temperature
electric toothbrush	structural-adjective	electric
horse weight	structural-noun-compound	horse
change ecosystem	structural-verb	change
strum	patient	guitar
little	synonym	small
reduce food	result	thin
taste sweet	structural-verb	taste
read	kind of	literacy
creating	kind of	activity
boston	kind of	city
protect hand	instrument	thermal glove
water animal	has subcomponent	seashell
moisture	synonym	liquid water
degrees kelvin	kind of	temperature
shelter	beneficiary	organism
material	has subcomponent	particle
depth	has property	greatest
unhealthy	antonym	healthy
fossil fuel	has property	nonrenewable
many year	structural-noun	year
electric current flow	structural-agent	electric current
muscle cells	structural-noun	muscle
little food	structural-noun	food
little liquid	structural-noun	liquid
photosynthesize	result	food
full moon	structural-noun	moon
fire	causes	smoke
battery convert	structural-agent	battery
burn coal	structural-verb	burn
animal eat seed	structural-patient	seed
increase important object	structural-patient	important object
north dakota	structural-noun-compound	north
break down	patient	whole
baking	derivational morphology	bake
flexible container expand	structural-verb	expand
insect	kind of	prey
tinted lens reflect	structural-verb	reflect
distance	has property	short
yunnan	at location	people's republic of china
runoff	has subcomponent	chemical
lab equipment	structural-noun-compound	lab
poison environment	instrument	poison organism
physical feature	structural-noun	feature
impact	has property	negative
camouflage	instrument	leaf
turtles	derivational morphology	turtle
recessive gene	structural-noun	gene
warm	instance of	heat energy
body system	structural-noun	system
foot	has property	webbed
move around	structural-verb	move
animal	has subcomponent	fur
weather	patient	whole
day	has subcomponent	earth rotate
liquid water	structural-noun	water
shaanxi	instance of	province
need	patient	know
cure	synonym	solution
deep river	structural-noun	river
meter stick	kind of	tool
phase change	agent	substance
visible light	structural-adjective	visible
string	has subcomponent	length
glamorgan	at location	wales
montserrat (uk)	structural-noun-compound	uk
change	patient	matter state
grass snake	structural-noun-compound	grass
absorb sunlight	structural-patient	sunlight
slow environmental change	structural-adjective	slow
many crater	structural-noun	crater
material	has property	nonmagnetic
capture animal	structural-verb	capture
breathe	instrument	oxygen
shiny surface	structural-noun	surface
electrical current	structural-noun-compound	electrical
sound reflect	synonym	echo
matter	has subcomponent	atom
vanuatu	at location	southern hemisphere
saint barthélemy (france)	structural-noun-compound	barthélemy
nerve cells	structural-noun	nerve
insulator	has property	electrical
sunny day	has subcomponent	many sunlight
earth's axis	structural-noun-compound	earth's
floating arrow point	structural-agent	floating arrow
very small	structural-quantifier	very
internal organ	structural-noun-compound	internal
health	has property	poor
day	has property	cloudy
tuna	kind of	fish
trout	has subcomponent	gill
prey population	structural-noun-compound	population
measure earthquake strength	structural-verb	measure
eliminate waste	structural-patient	waste
sun set	structural-agent	sun
few organism	structural-quantifier	few
protect	instrument	cover
avoid	kind of	defend
xinjiang	synonym	xinjiang autonomous region
lift heavy object	instrument	lever
hong kong special administrative region	structural-noun-compound	hong
cloud	has property	grey
oaxaca	instance of	state
recycle	result	resource
scales	derivational morphology	scale
measure	patient	hardness
ocean heat	causes	hurricane
least length	structural-noun	length
sunset	structural-noun-compound	set
oil mixed with water	structural-noun-compound	oil
pollinate	agent	animal
gravity	causes	landslide
push bike pedal	structural-patient	bike pedal
rest	kind of	activity
eat insect	structural-patient	insect
salt water	structural-noun-compound	water
flip switch	structural-verb	flip
cause	has property	natural
decomposing algae	structural-noun	algae
drink	instrument	cup
sharp object	structural-adjective	sharp
pound	kind of	unit
lose hair	structural-verb	lose
blending in	structural-adjective	in
location	has property	distant
constructive force	structural-noun	force
transmittance	at location	surface
strum string	structural-verb	strum
geologic structure	structural-adjective	geologic
increase visibility	instrument	windshield wiper
rainy weather	structural-noun	weather
light brown	structural-adjective	light
play	patient	musical instrument
ice cream	structural-noun-compound	cream
kill plant	structural-verb	kill
organism	kind of	living entity
lunar cycle	structural-noun-compound	lunar
sand	has subcomponent	small particle
yeast cell	structural-noun-compound	yeast
earth	has subcomponent	mantle
uganda	at location	equator
heard island and mcdonald islands (australia)	at location	southern hemisphere
know	patient	property
vibrate	agent	molecule
attract mate	structural-verb	attract
morocco	at location	southern hemisphere
remora fish eat	patient	food
insect eat crop	structural-agent	insect
lose	synonym	have less of
night sky star	structural-noun-compound	star
play musical instrument	structural-verb	play
form solid	structural-patient	solid
process	has subcomponent	part
guerrero	structural-noun-compound	guerrero
hurricane	has property	strong
push	patient	water
cotton waste	structural-noun-compound	waste
offshore oil platform	structural-noun	oil platform
water animal	kind of	animal
visual thing	structural-noun-compound	thing
surrey	structural-noun-compound	surrey
fire destroy	patient	plant
less object	structural-noun	object
many year	has subcomponent	weathering
hold animal	structural-patient	animal
midlothian	structural-noun-compound	midlothian
absorb carbon dioxide	structural-verb	absorb
potential energy	structural-adjective	potential
co2	synonym	carbon dioxide
internal organs	structural-noun	organs
farm plant	structural-patient	plant
cambodia	at location	northern hemisphere
thunder	kind of	sound
warmth	derivational morphology	warm
no color	antonym	color
transport mineral	instrument	artery
decrease visibility	result	crash car
magnet	has subcomponent	north pole
push object	instrument	force
transfer	kind of	move
destroy living thing	structural-verb	destroy
bird	has property	baby
affect organism	structural-patient	organism
beijing	at location	people's republic of china
can float	structural-verb	can
heavy	synonym	many weight
liquid carry	synonym	liquid push
soil	has property	renewable
measure earthquake strength	structural-patient	earthquake strength
many something	structural-quantifier	many
baby cat	structural-adjective	baby
millimeters	kind of	length
haddingtonshire	at location	scotland
rock	has property	large
dominant gene	structural-noun	gene
mining	derivational morphology	mine
deep	antonym	shallow
weathering	causes	sedimentary rock
organism grow	instrument	energy
butterfly lifespan	synonym	1 month
calculator	kind of	tool
set	agent	sun
sichuan	structural-noun-compound	sichuan
lab equipment	structural-noun-compound	equipment
insulator	has property	insulated
pull down	instrument	gravity
xinjiang	instance of	autonomous region
plant become oil	instrument	bury plant
kansas	structural-noun-compound	kansas
above number	structural-noun	number
recycle resource	structural-verb	recycle
protect	patient	young bird
adjust temperature	structural-patient	temperature
transport	patient	water
act	patient	object
equatorial regional guinea	structural-noun-compound	guinea
speak	kind of	communication
rocky terrain	structural-adjective	rocky
move	result	change position
plant transport nutrient	instrument	stem
multicellular organism	structural-noun	organism
ocean shell	structural-noun-compound	shell
monkey give birth	structural-agent	monkey
greatest	synonym	largest
defend	instrument	poison dart
piano key	structural-noun-compound	key
bedfordshire	structural-noun-compound	bedfordshire
bacteria	causes	illness
object	has property	length
leaf	has property	small
low quality soil	structural-adjective	quality
make product	instrument	material
water vapor	structural-noun-compound	water
selkirkshire	instance of	county
affect	agent	non-contact forces
measure length	structural-patient	length
bodily process	structural-adjective	bodily
form group	structural-verb	form
daylight hour	has subcomponent	daylight
infertile soil	has subcomponent	low quality
diamond	kind of	mineral
nunavut	structural-noun-compound	nunavut
continental shelf	has property	shallow
inclined	synonym	sloping
function	synonym	use
each	similar to	individual
flower become	structural-verb	become
hide	agent	octopus
use resource	agent	organism
put	patient	group
condense	derivational morphology	condensing
plant	kind of	living thing
orkney	instance of	county
gourd	kind of	fruit
push	kind of	force
michoacán	at location	mexico
include	synonym	contain
water fall	synonym	precipitation
function	agent	simple machine
live	synonym	be alive
rock	synonym	stone
gaseous matter	structural-adjective	gaseous
pewter	has property	nonmagnetic
control animal	structural-patient	animal
bone cells	structural-noun	cells
largest	synonym	greatest size
united states	structural-noun-compound	state
flower petal	structural-noun-compound	petal
contain	kind of	store
enhanced sense	structural-adjective	enhanced
observe	patient	moon
compare density	structural-patient	density
water lily	structural-noun-compound	lily
decompose	agent	microorganism
perform experiment	instrument	read instruction
cups	kind of	volume
waxing crescent	kind of	moon phase
oven	causes	heat
greenland (denmark)	at location	northern hemisphere
temperature	has property	intensive
complete rotation	structural-verb	complete
stay	result	cool
combine	patient	solids
electromagnet	has subcomponent	wire
shape	has property	narrow
curiosity	derivational morphology	curious
many energy	structural-noun	energy
protect hand	structural-patient	hand
magnetic force	structural-noun-compound	force
saba (netherlands)	structural-noun-compound	saba
rock crack	structural-noun-compound	rock
body store	structural-agent	body
share information	structural-verb	share
come together	structural-verb	come
study	patient	history
british indian ocean territory (united kingdom)	structural-noun-compound	kingdom
move	patient	human
river	kind of	water channel
shed fur	structural-verb	shed
adult female insect	structural-adjective	female
wind	synonym	moving air
fox eat	patient	rabbit
pollinate	agent	bee
nairnshire	at location	scotland
polluting gas	structural-noun	gas
moon phase	structural-noun-compound	phase
food preference	kind of	preference
stay	antonym	change
create	patient	paper
low vibration	structural-adjective	low
find	patient	food
rain storm	structural-noun-compound	rain
water	has property	quality
object cool	structural-verb	cool
water boiling point	synonym	373k
technology	similar to	tool
learn information	result	know information
material	has property	magnetism
carbohydrate	has subcomponent	sugars
carry oxygen	instrument	blood
deep valley	structural-noun	valley
contact object	result	sound
high speed	structural-noun-compound	speed
high tide	structural-noun-compound	high
see	patient	light
smooth skin	structural-adjective	smooth
high quality soil	structural-noun	soil
dig	agent	chimpanzee
hide	beneficiary	animal
burn gasoline	instrument	gasoline engine
lift flag	structural-verb	lift
pembrokeshire	at location	wales
ningxia	synonym	ningxia autonomous region
shrink	result	decrease size
cold	synonym	low temperature
marble	kind of	object
convert	agent	bee
high vibration	structural-noun	vibration
grow	instrument	tissue
store	patient	urine
coast	kind of	environment
see	patient	prey
coral sea islands (australia)	structural-noun-compound	coral
sleet	has subcomponent	ice
plant cells	structural-noun	cells
produce electricity	instrument	oil
produce	agent	tree
large size	structural-noun	size
celestial body move	structural-agent	celestial body
redwood tree	structural-noun-compound	tree
human	kind of	car passenger
cell	has subcomponent	cell membrane
little sunlight	structural-quantifier	little
change direction	structural-patient	direction
osprey	kind of	bird
know property	structural-verb	know
measure wind speed	structural-patient	wind speed
provide sunlight	structural-patient	sunlight
cut down tree	agent	human
kangaroo drink milk	at location	kangaroo pouch
meadow vole eat insect	structural-agent	meadow vole
colorado	structural-noun-compound	colorado
hit	kind of	touch
bury seed	structural-patient	seed
learn	instrument	study fossil
improve telescope	result	better observation
bone	has property	hollow
carnivore eat animal	structural-patient	animal
decompose	agent	bacterium
french guiana (france)	structural-noun-compound	france
activity	has property	physical
keep cool	antonym	increase temperature
living thing grow	structural-agent	living thing
move product	structural-patient	product
object	has property	heat energy
circuit	has subcomponent	electricity
light	has property	close
borax	has property	magnetic
attract	kind of	activity
object	has property	black
malleable	instance of	hardness
renewable resource	synonym	natural resource
enemy	synonym	threat
bark	has property	brown
perform task	structural-patient	task
burn living thing	structural-patient	living thing
complex machine	structural-adjective	complex
michoacán	instance of	state
living thing survive	instrument	energy
object	has property	warm
build tool	structural-verb	build
very small	structural-adjective	small
greatest	synonym	most
hurricane	causes	harm living thing
produce electricity	instrument	burn coal
matter form	structural-agent	matter
consumer	has property	first-level
size	has property	higher
egg hatch	structural-agent	egg
kilograms	synonym	kg
hen	has property	adult
be available long	structural-verb	be available
panama	at location	northern hemisphere
skin	has property	smooth
planet pull	instrument	gravity
water vapour	at location	atmosphere
matter form	kind of	process
property	has property	physical
timber company	structural-noun-compound	timber
georgia	structural-noun-compound	georgia
tide cycle	structural-noun-compound	tide
