subj	rel	obj
sand	has subcomponent	rough surface
earth	has subcomponent	mass
pollinate	at location	flower
absorb nutrient	instrument	root
choice	has property	good
oxygenated	derivational morphology	oxygen
sri lanka	at location	northern hemisphere
moon kind	synonym	moon phase
synthetic material	kind of	material
drive vehicle	synonym	use vehicle
store	synonym	hold
visibility	has property	low
carry food	instrument	esophagus
heat transfer	result	cold
wash away	agent	soil
environment	causes	acquired characteristic
butterfly	synonym	old caterpillar
orbit	patient	sun
montserrat (uk)	at location	northern hemisphere
heat	synonym	add heat
temperature	has property	lower
lesotho	at location	southern hemisphere
shift	synonym	move
appear	patient	large
wolf	kind of	animal
do	patient	chore
send	synonym	transfer
recycle	patient	nonrenewable resources
blend in	synonym	hide
produce	agent	skunk
solar energy	instance of	energy
newly hatched	synonym	just born
increase temperature	result	big
sweden	at location	northern hemisphere
ear	has property	long
observe	instrument	satellite
flashlight	causes	light
remove forest	causes	remove animal habitat
hold	instrument	handle
surface	has property	lunar
earthquake	causes	building collapse
utah	at location	united states of america
quarts	synonym	qt
tamaulipas	instance of	state
wood	kind of	natural material
transport	agent	plant
paper	has property	nonmagnetic
better	synonym	good
uv light	kind of	light
fur	has property	thick
attach	patient	shark
pour	kind of	activity
tianjin municipality	synonym	tianjin
magnet	has property	magnetic
bark	kind of	sound
kill fish	result	food
pail	kind of	container
southern summer	has subcomponent	december
swamp	has subcomponent	soil
nature	has subcomponent	atmosphere
lake	has property	deep
heat	causes	expand
predate	agent	bird
cloud	has subcomponent	water vapor
assemble	patient	something
linlithgowshire	instance of	county
light bulb filaments	derivational morphology	light bulb filament
study	patient	microorganism
cool	synonym	cold
jalisco	instance of	state
violet	kind of	color
floodplain	kind of	landform
substance	has property	not dense
colorless	synonym	no color
attract	patient	fly
cure	patient	sick
create	synonym	make
burn	kind of	action
refrigerator	has subcomponent	harmful chemical
touch	agent	object
hong kong special administrative region	instance of	special administrative region
ecosystem	has subcomponent	nonliving thing
weather	has property	bad
electricity flow	instrument	electrical conductor
skunk	kind of	animal
population	has subcomponent	organism
fluid ounce	synonym	fl oz
poison	derivational morphology	poison
datum	synonym	information
seed	kind of	inherited characteristic
arctic	has property	white
caterpillar	synonym	young butterfly
baby	has property	young
bone	kind of	fossil
communicate	instrument	computer
body	has property	warm
white tile	kind of	streak plate
guess	has property	scientific
magnify	instrument	electron microscope
survive	instrument	conserve water
gills	derivational morphology	gills
vibration	derivational morphology	vibrate
maryland	instance of	state
skid	causes	friction
chicken	has property	chicken weight
pure substance	has subcomponent	melting point
condense	similar to	collect
discard	patient	waste
animal survive	instrument	eat food
melt	agent	snow
point	has property	freezing
protect	patient	plant
lift	patient	heavy object
cows	derivational morphology	cow
weather	kind of	break down
burma	at location	northern hemisphere
animal	has property	thin
hong kong	instance of	special administrative region
poison	patient	organism
measuring cup	kind of	tool
pull	kind of	force
wise	synonym	good
rise	agent	sun
alabama	instance of	state
half	instance of	amount
object	has property	weight
young	synonym	immature
guinea	at location	southern hemisphere
touch	synonym	contact
color	kind of	visual property
puebla	at location	mexico
oaxaca	at location	mexico
vibrate	agent	air
constellation	has subcomponent	star
heat gas	result	rise
tide cycle	has subcomponent	low tide
rocket	kind of	mechanical system
glow	agent	filament
swaziland	at location	southern hemisphere
red	kind of	color
volcanic eruption	kind of	quick process
piece	kind of	object
clear	patient	orbit
altitude	has property	great
not change	antonym	change
absorb sound	instrument	carpet
move	patient	air
liquid	patient	freeze
trinidad and tobago	at location	northern hemisphere
climb	agent	vine
rise	agent	old rock
carry oxygen	goal	cell
cook	patient	food
burkina faso	at location	southern hemisphere
avoid	patient	waste
quarter	has property	first
affect	agent	magnetism
occurrence	has property	natural
form	patient	solid
magnify	instrument	magnifying glass
nail	has property	magnetic
asteroid impact	result	crater
cool down	agent	source
use resource	has negative impact on	availability
density	has property	intensive
force	has property	destructive
time	has property	different
catch	derivational morphology	catching
escape predator	instrument	move
change	agent	temperature
raccoon eat trash	has negative impact on	trash
strum	patient	guitar
little	synonym	small
reduce food	result	thin
read	kind of	literacy
creating	kind of	activity
boston	kind of	city
protect hand	instrument	thermal glove
water animal	has subcomponent	seashell
moisture	synonym	liquid water
degrees kelvin	kind of	temperature
shelter	beneficiary	organism
material	has subcomponent	particle
depth	has property	greatest
unhealthy	antonym	healthy
fossil fuel	has property	nonrenewable
photosynthesize	result	food
fire	causes	smoke
break down	patient	whole
baking	derivational morphology	bake
insect	kind of	prey
distance	has property	short
yunnan	at location	people's republic of china
runoff	has subcomponent	chemical
impact	has property	negative
camouflage	instrument	leaf
turtles	derivational morphology	turtle
warm	instance of	heat energy
foot	has property	webbed
animal	has subcomponent	fur
weather	patient	whole
day	has subcomponent	earth rotate
shaanxi	instance of	province
need	patient	know
cure	synonym	solution
meter stick	kind of	tool
phase change	agent	substance
string	has subcomponent	length
glamorgan	at location	wales
change	patient	matter state
material	has property	nonmagnetic
breathe	instrument	oxygen
sound reflect	synonym	echo
matter	has subcomponent	atom
vanuatu	at location	southern hemisphere
insulator	has property	electrical
health	has property	poor
day	has property	cloudy
tuna	kind of	fish
trout	has subcomponent	gill
protect	instrument	cover
avoid	kind of	defend
xinjiang	synonym	xinjiang autonomous region
cow eat plant	has negative impact on	plant
lift heavy object	instrument	lever
cloud	has property	grey
oaxaca	instance of	state
recycle	result	resource
scales	derivational morphology	scale
measure	patient	hardness
ocean heat	causes	hurricane
pollinate	agent	animal
gravity	causes	landslide
rest	kind of	activity
cause	has property	natural
drink	instrument	cup
pound	kind of	unit
location	has property	distant
transmittance	at location	surface
increase visibility	instrument	windshield wiper
play	patient	musical instrument
organism	kind of	living entity
sand	has subcomponent	small particle
earth	has subcomponent	mantle
uganda	at location	equator
heard island and mcdonald islands (australia)	at location	southern hemisphere
know	patient	property
vibrate	agent	molecule
morocco	at location	southern hemisphere
remora fish eat	patient	food
lose	synonym	have less of
process	has subcomponent	part
hurricane	has property	strong
push	patient	water
water animal	kind of	animal
fire destroy	patient	plant
many year	has subcomponent	weathering
co2	synonym	carbon dioxide
cambodia	at location	northern hemisphere
thunder	kind of	sound
grow	has positive impact on	size
warmth	derivational morphology	warm
no color	antonym	color
bear eat berry	has positive impact on	bear
transport mineral	instrument	artery
magnet	has subcomponent	north pole
push object	instrument	force
transfer	kind of	move
bird	has property	baby
beijing	at location	people's republic of china
heavy	synonym	many weight
soil	has property	renewable
millimeters	kind of	length
haddingtonshire	at location	scotland
rock	has property	large
mining	derivational morphology	mine
deep	antonym	shallow
weathering	causes	sedimentary rock
organism grow	instrument	energy
butterfly lifespan	synonym	1 month
calculator	kind of	tool
set	agent	sun
insulator	has property	insulated
pull down	instrument	gravity
xinjiang	instance of	autonomous region
plant become oil	instrument	bury plant
protect	patient	young bird
transport	patient	water
act	patient	object
speak	kind of	communication
move	result	change position
plant transport nutrient	instrument	stem
pesticide	has negative impact on	insect
greatest	synonym	largest
defend	instrument	poison dart
bacteria	causes	illness
object	has property	length
leaf	has property	small
make product	instrument	material
selkirkshire	instance of	county
affect	agent	non-contact forces
daylight hour	has subcomponent	daylight
diamond	kind of	mineral
continental shelf	has property	shallow
human eat crop	has positive impact on	human
inclined	synonym	sloping
function	synonym	use
each	similar to	individual
hide	agent	octopus
use resource	agent	organism
put	patient	group
condense	derivational morphology	condensing
plant	kind of	living thing
orkney	instance of	county
gourd	kind of	fruit
push	kind of	force
michoacán	at location	mexico
include	synonym	contain
water fall	synonym	precipitation
function	agent	simple machine
live	synonym	be alive
rock	synonym	stone
pewter	has property	nonmagnetic
largest	synonym	greatest size
contain	kind of	store
observe	patient	moon
decompose	agent	microorganism
cups	kind of	volume
pollinator	has positive impact on	reproduce
waxing crescent	kind of	moon phase
oven	causes	heat
greenland (denmark)	at location	northern hemisphere
temperature	has property	intensive
stay	result	cool
combine	patient	solids
electromagnet	has subcomponent	wire
shape	has property	narrow
study	patient	history
move	patient	human
river	kind of	water channel
wind	synonym	moving air
fox eat	patient	rabbit
pollinate	agent	bee
nairnshire	at location	scotland
food preference	kind of	preference
stay	antonym	change
create	patient	paper
find	patient	food
water	has property	quality
water boiling point	synonym	373k
technology	similar to	tool
material	has property	magnetism
carbohydrate	has subcomponent	sugars
carry oxygen	instrument	blood
contact object	result	sound
food	has positive impact on	hatch
see	patient	light
dig	agent	chimpanzee
hide	beneficiary	animal
burn gasoline	instrument	gasoline engine
pembrokeshire	at location	wales
ningxia	synonym	ningxia autonomous region
cold	synonym	low temperature
marble	kind of	object
convert	agent	bee
grow	instrument	tissue
store	patient	urine
coast	kind of	environment
see	patient	prey
sleet	has subcomponent	ice
produce electricity	instrument	oil
produce	agent	tree
human	kind of	car passenger
cell	has subcomponent	cell membrane
osprey	kind of	bird
thermal insulator	has negative impact on	heat
cut down tree	agent	human
kangaroo drink milk	at location	kangaroo pouch
hit	kind of	touch
learn	instrument	study fossil
bone	has property	hollow
decompose	agent	bacterium
activity	has property	physical
keep cool	antonym	increase temperature
object	has property	heat energy
circuit	has subcomponent	electricity
light	has property	close
borax	has property	magnetic
attract	kind of	activity
object	has property	black
malleable	instance of	hardness
renewable resource	synonym	natural resource
enemy	synonym	threat
bark	has property	brown
michoacán	instance of	state
living thing survive	instrument	energy
object	has property	warm
greatest	synonym	most
hurricane	causes	harm living thing
produce electricity	instrument	burn coal
consumer	has property	first-level
size	has property	higher
predator	has negative impact on	prey
kilograms	synonym	kg
hen	has property	adult
panama	at location	northern hemisphere
skin	has property	smooth
planet pull	instrument	gravity
water vapour	at location	atmosphere
matter form	kind of	process
property	has property	physical
camper	kind of	human
object	has property	strong
ocean shell	synonym	seashell
ripping	derivational morphology	rip
middlesex	at location	england
dessert	has subcomponent	few nutrient
hail	kind of	precipitation
dunbartonshire	synonym	dumbartonshire
live	derivational morphology	life
refract	derivational morphology	refraction
rely on	synonym	require
egg survive	instrument	warmth
make	result	effect
hill	has property	rounded
rock cycle	has subcomponent	coal
lens	has subcomponent	glass
many required item	has positive impact on	resource consumer
recycle	derivational morphology	recyclable
fish	at location	water
denbighshire	at location	wales
national park	has positive impact on	ecosystem
central nervous system	has subcomponent	spinal cord
eat	patient	acorn
eat	patient	seed
rabbit	kind of	herbivore
substance	has property	boiling point
rock fold	result	appalachians
lightbulb	causes	light
black	kind of	color
down	kind of	small feather
purple	kind of	color
phase change	result	same mass
blow	agent	wind
help	synonym	aid
tiny	instance of	size
food	at location	environment
getting	derivational morphology	get
low air pressure	causes	rain
runoff	has subcomponent	pollutant
sunset	has property	late
behavior	kind of	characteristic
air	kind of	matter
garden	at location	outside
cut	patient	material
argyllshire	at location	scotland
year	has property	every
read	patient	measurement
year	has subcomponent	equinox
building	has subcomponent	thermostat
turn on	kind of	process
days	kind of	time
good road	has subcomponent	smooth surface
learn	at location	school
sit	result	heat
mouse	kind of	mammal
increase	similar to	extend
leaf tilt	goal	sunlight
produce	kind of	function
sharpen	result	change shape
seed sprout	at location	soil
live	instrument	energy
be available	patient	long
material	has subcomponent	property
invent	patient	refrigerator
dry	result	less liquid
condition	kind of	acquired characteristic
space	kind of	resource
near	synonym	close
transmit	agent	vehicle
byproduct	kind of	waste
hibernate	has positive impact on	energy
grow	derivational morphology	growing
vehicle	kind of	object
carbon	causes	greenhouse effect
electricity	at location	electrical conductor
mass	causes	weight
plant become oil	at location	sea bottom
prevailing westerlies	kind of	wind
move	agent	wind
field	has property	open
cool body	instrument	sweat
day	has property	every
tadpole	at location	water
collapse	agent	building
exchange	agent	gas
amoeba	kind of	single-celled organism
hemisphere	has property	eastern
control	patient	body
trashcan	has subcomponent	trash
crater	kind of	land feature
thickness	derivational morphology	thick
fire	at location	surface
cause	result	increase
revolve	at location	sun
avoid predator	result	protect
metamorphose	result	metamorphic rock
bring substance	kind of	function
downward	kind of	direction
catching	derivational morphology	catch
clay	has property	nonmagnetic
skeletal system	has subcomponent	bone
skin	has property	color
swimming	derivational morphology	swim
manmade	antonym	natural
centimeter	has property	short
solution	has positive impact on	problem
bird	has subcomponent	lung
octopus	kind of	animal
protect	beneficiary	internal organ
aquatic	synonym	water
reaction	has property	bad
observe	patient	sky
property	has property	visual
carbon cycle	has subcomponent	decomposition
frosting	kind of	material
conserve water	kind of	characteristic
lebanon	at location	northern hemisphere
salt and pepper	has subcomponent	salt
transport sand	instrument	wind
ivy plant	kind of	plant
seychelles	at location	southern hemisphere
cool	instance of	temperature
point north	agent	compass
lightning	causes	forest fire
big	antonym	small
weather	causes	shelter
burn	instrument	heat energy
animal	has subcomponent	foot
gansu	instance of	province
send electricity	result	electricity flow
plant	has property	real
sunlight	has subcomponent	light energy
car	has property	electric
toaster	causes	heat energy
shelter	derivational morphology	shelter
body part	has property	shape
electric car	has subcomponent	electricity
aruba	at location	northern hemisphere
communicate	instrument	tool
tianjin	at location	people's republic of china
oxfordshire	at location	england
planet rotate	result	night
rotate	synonym	complete rotation
decomposer consume	patient	dead organism
heat	causes	burn
tonnes	synonym	t
light years	kind of	length
pebble	at location	water
warm front	causes	wind
insulate	instrument	thermal insulator
paint	patient	object
break down food	instrument	cell
renewable resource	has property	replaceable
quality	has property	low
forests	derivational morphology	forest
protect	patient	body
weather	result	weathering
avoid predator	result	live
leaf change colour	kind of	process
rust	synonym	form rust
slide	kind of	object
brass	has property	nonmagnetic
hit	patient	piano key
usual	synonym	normal
planet	has property	dwarf
magnify	instrument	microscope
rock deposit	result	rock pile
paper bag	kind of	object
boil	kind of	change
sediment cover organism remains	result	fossil
biofuel	causes	carbon dioxide
rub together	synonym	move against
transpire	source	plant
organism	has property	health
parent	has subcomponent	baby
mineral	kind of	solid material
spots	derivational morphology	spot
sutherland	at location	scotland
ounces	synonym	oz
function	agent	electric device
o	has property	m
alligator eat frog	has positive impact on	alligator
virginia	at location	united states of america
sifter	kind of	tool
make	patient	easier
cool	patient	room
water container	has subcomponent	water
natural gas	has property	nonrenewable
drop	has property	little
reproduce	agent	animal
shorten	result	short
electrical current	synonym	electrical energy
cheshire	instance of	county
physical change	causes	change physical property
canyon	kind of	place
cook islands (new zealand)	at location	southern hemisphere
nigeria	at location	southern hemisphere
surface	has property	hot
image	synonym	visual depiction
conductor	derivational morphology	conduct
tall	synonym	great height
spread seed	agent	bird
object	has property	thickness
physical cycle	at location	earth
temperature drop	synonym	cooling
leaf	has property	big
consumer eat organism	has negative impact on	organism
mass	similar to	size
transpiration	derivational morphology	transpire
eat	agent	squirrel
dissolve	derivational morphology	dissolved
cromartyshire	at location	scotland
dissolve	agent	sugar
airplane	kind of	vehicle
gaseous	kind of	phase
paper	has property	wood-free
can float	synonym	buoyant
movement	kind of	change
campeche	instance of	state
hemisphere of earth	has subcomponent	earth
nuevo león	at location	mexico
eat	patient	organism
object	has property	rigid
o	has property	s
protect	patient	cell
peat	at location	swamp
predator	has property	new
horse weight	instance of	weight
medicine	causes	bad reaction
power	instrument	source
senegal	at location	southern hemisphere
metamorphosis	has property	complete
big	kind of	size
bobcat	kind of	predator
northumberland	instance of	county
instruments	derivational morphology	instrument
something	has property	many
block sunlight	instrument	large canopy
chicken	kind of	bird
drive	kind of	skill
use energy	instrument	respire
water	kind of	matter
function	similar to	purpose
increase	patient	number
light	has negative impact on	shadow
yorkshire	at location	england
animal	has subcomponent	whisker
take object	has negative impact on	group
temperature change	result	phase change
ethanol	has subcomponent	corn
human	causes	pollution
big size	has positive impact on	extensive property
be on	result	touch
hunt	patient	animal
dead leaf fall	at location	tree
storm	has subcomponent	rain
support	patient	plant
copy	result	similar
roots	derivational morphology	root
resource decrease	at location	environment
plant	at location	soil
skeletal system	has subcomponent	skeleton
radio	kind of	tool
fish	kind of	meat
summer	kind of	season
build	derivational morphology	building
increase	patient	value
vegetable	kind of	plant
forces	derivational morphology	force
dunbartonshire	instance of	county
incandescent light bulb	has subcomponent	filament
piano	has subcomponent	piano key
shanghai	instance of	municipality
fold	result	change shape
walk	instrument	foot
complete metamorphosis	antonym	incomplete metamorphosis
closer	derivational morphology	close
material	has property	color
india	at location	northern hemisphere
lose	patient	soil
protect	synonym	defend
human	has subcomponent	skin
understand	patient	instruction
morayshire	at location	scotland
coast	synonym	shore
observe	result	scientific evidence
break apart	synonym	break down
water cycle	kind of	physical cycle
nauru	at location	southern hemisphere
sleep	instrument	little energy
drop	goal	location
observation	derivational morphology	observe
cut down tree	result	tree number decrease
lighter	synonym	lower weight
quintana roo	at location	mexico
play instrument	result	sound
nacl	synonym	sodium chloride
duration	instance of	time
bacteria	causes	disease
meadow vole eat plant	has negative impact on	plant
united arab emirates	at location	northern hemisphere
sun	causes	sunlight
metamorphose	instrument	extreme pressure
strum guitar	kind of	play musical instrument
campfire	kind of	fire
crop rotation	causes	different plant
night sky star	kind of	star
centimeters	derivational morphology	centimeters
sink	goal	down
north carolina	instance of	state
inhale	patient	air
hair	has property	thin
hot	synonym	high heat energy
larger	synonym	more size
hover	at location	air
decrease	patient	heat
surface	has property	texture
big flower	has positive impact on	pollinator
nairnshire	instance of	county
measure	patient	earthquake strength
shape	kind of	inherited characteristic
photosynthesize	instrument	water
complete	patient	rotation
deflect	patient	air
measure hardness	patient	material
protected	derivational morphology	protect
oxygenate	patient	blood
transfer	patient	thermal energy
change	patient	animal habitat
potential energy	kind of	measure
miles	derivational morphology	miles
image	has subcomponent	visual information
tile	has property	white
rain	kind of	water
boy	kind of	male human
telephone	kind of	tool
bake	kind of	cook
object	has property	dangerous
plant	kind of	food
larger	synonym	greater size
plant	has subcomponent	nectar
coloration	synonym	color
covering	has property	protective
star	agent	see
macau special administrative region	instance of	special administrative region
digestive	derivational morphology	digest
positive impact	synonym	helpful effect
material	has property	luster
epidote	has property	magnetic
down	kind of	direction
suriname	at location	southern hemisphere
escape	synonym	avoid
cool	agent	object
heat	beneficiary	building
moisture	synonym	liquid
sight	synonym	see
increase	patient	resource
chongqing	instance of	municipality
trash	synonym	waste
take trip	instrument	vehicle
serbia	at location	northern hemisphere
desert	kind of	environment
grow	agent	plant
weather	has property	hot
lightning	kind of	electricity
predator eat prey	has positive impact on	predator
reflect	derivational morphology	reflection
length	kind of	distance
iron	kind of	mineral
hawk	kind of	bird
beverage	has property	carbonated
near	antonym	far
eat	agent	hummingbird
complete	instrument	help
forest	has property	high rainfall
sunlight	causes	solar energy
tree	has subcomponent	branch
hold animal	at location	container
light split	result	different colors
tropical environment	has property	warm
object	has property	same
eat insect	agent	salamander
sun	causes	solar energy
magnet	kind of	object
insect	has property	female
resource	has positive impact on	population
leaf	has property	waxy
characteristic	synonym	part
harm	patient	organism
transport	patient	energy
heat	similar to	temperature
beneficial	synonym	helpful
toast	kind of	cook
western hemisphere	kind of	hemisphere
heat	kind of	radiation
become	patient	coal
carbonic acid dissolve limestone	result	cavern
distance	similar to	length
nova scotia	at location	canada
protect nature	has positive impact on	environment
heat	kind of	energy
disturb animal	result	animal move
material	has subcomponent	matter
eat insect	agent	frog
produce food	agent	producer
cook	at location	stove
compete	agent	vehicle
specialized	antonym	unspecialized
earlobe	kind of	body part
melting point	kind of	temperature
far	antonym	close
freeze	result	expand
wire	has property	copper
recycle	synonym	return
heat transfer	result	source cool down
texas	instance of	state
barometer	causes	reading
fire	causes	burn
planet rotate	causes	day
have	patient	positive impact
doorbell	kind of	bell
equatorial regional guinea	at location	southern hemisphere
food chain	has subcomponent	decomposer
crop	patient	grow
malaysia	at location	northern hemisphere
find information	instrument	computer
prevent	result	decrease
survive	beneficiary	living entity
young amphibian	at location	water
little	instance of	amount
tanzania	at location	southern hemisphere
earthworm	kind of	animal
erosion	kind of	destructive force
metamorphose	result	adult
study	instrument	see
increase	patient	important object
argyllshire	instance of	county
illness	has negative impact on	health
heat	synonym	heat energy
stirlingshire	at location	scotland
dime	kind of	coin
absorbance	derivational morphology	absorb
food chain	has subcomponent	fungi
crumple	instrument	physical force
warn	has positive impact on	safety
move	instrument	thick tail
move	patient	food
stick	instrument	magnetism
cups	synonym	c
renewable resource	kind of	natural resource
plant	has subcomponent	thorn
piano	has subcomponent	key
provide	derivational morphology	providing
lady bug	has subcomponent	spot
aberdeenshire	instance of	county
multicellular organism	has subcomponent	many cell
alternative fuel	has property	renewable
cell	has property	very small
field	has subcomponent	grass
earth	has subcomponent	ocean
sun	has subcomponent	energy
experiment	causes	observation
soil erode	instrument	animal exposure
parent	has subcomponent	gene
observe	patient	distant object
producer	kind of	role
trees	kind of	resource
reproduce	instrument	seed
animal avoid	patient	bad odor
wood	has property	sturdy
group	synonym	put group
rabbit	kind of	animal
cold temperature	has negative impact on	organism
information	has property	genetic
winter solstice	has property	northern
electric car	kind of	car
ocean	has subcomponent	many salt water
liechtenstein	at location	northern hemisphere
break	patient	bone
die	antonym	live
classification	kind of	process
pollination	derivational morphology	pollinate
renewable resource	has property	natural
0c	kind of	celcius
edinburghshire	at location	scotland
concern	has negative impact on	object
household appliance	kind of	electrical device
attract	result	move close
fold	agent	rock layer
nail	kind of	object
plant	has subcomponent	root
rest	has positive impact on	health
low quality soil	has subcomponent	few nutrient
millimeters	kind of	distance
philippines	at location	northern hemisphere
satellite	at location	space
material	has property	smell
rwanda	at location	southern hemisphere
transpire	agent	water vapor
rounder	derivational morphology	round
bird	has subcomponent	skinny beak
dew	kind of	condensation
shower	causes	steam
sun	synonym	night sky star
digestive system	kind of	body system
operate	patient	toy
ethiopia	at location	southern hemisphere
behaviour	has property	instinctive
living thing	kind of	object
animal	has property	small
catch prey	instrument	move
temperature	has property	extreme
inner mongolia	instance of	autonomous region
shiver	causes	create heat
keep	patient	healthy
metamorphosis	derivational morphology	metamorphose
water cycle	kind of	process
powdered	derivational morphology	powder
higher	synonym	greater number
tree	has positive impact on	ecosystem
earth	has subcomponent	water
slovakia	at location	northern hemisphere
reproduce	agent	adult
change	has property	slow
cool	patient	gas
crack	has property	big
force	has property	non-contact
the bahamas	at location	northern hemisphere
move waste	goal	kidney
renew	patient	soil
river	kind of	water
manipulate	agent	person
kangaroo drink milk	kind of	instinct
coastal area	kind of	environment
transfer	kind of	give
hand dryer	causes	heat
fossil fuel	kind of	resource
